index,complaints,transactions_ytd,avg_tr_amt,time_on_site,total_discounts,num_reviews,avg_review,returns,latest_review,num_total_purchases,purchase_made_last_month
41,6,12,181.67,181.67,107.4,11,3.71,9,3,30,No
42,8,11,204.97,204.97,130.24,11,3.61,16,4,29,Yes
43,6,15,169.41,169.41,131.32,7,2.19,13,3,42,Yes
44,6,15,212.41,212.41,154.16,12,4.05,9,3,43,Yes
45,8,15,183.59,183.59,147.2,8,2.95,14,3,39,No
46,6,12,166.46,166.46,143.25,9,2.15,14,3,35,Yes
47,6,15,193.93,193.93,93.8,5,3.22,14,4,38,No
48,7,17,176.6,176.6,122.78,9,2.86,11,3,34,Yes
49,7,20,156.35,156.35,135.08,8,2.12,8,3,43,Yes
50,8,13,156.71,156.71,89.28,6,2.28,12,4,35,No
51,8,11,205.53,205.53,114.08,8,3.94,13,3,41,No
52,7,15,194.1,194.1,170.75,8,3.43,10,4,35,No
53,11,8,190,190,131.85,8,3.47,16,3,32,No
54,9,11,153.81,153.81,116.16,8,2.3,12,3,33,No
55,5,17,202.8,202.8,179.03,11,2.89,16,3,39,Yes
56,7,12,178.12,178.12,129.54,9,3.01,12,3,32,No
57,10,11,164.52,164.52,142.81,7,2.78,11,3,33,No
58,6,12,187.85,187.85,91.79,10,3.44,8,3,40,Yes
59,3,19,192.84,192.84,153.4,9,2.63,13,3,41,Yes
60,5,12,168.02,168.02,107.26,8,2.94,3,4,33,No
61,6,14,202.77,202.77,158.18,11,3.69,9,3,45,Yes
62,7,17,196.85,196.85,159.76,10,2.99,12,4,41,Yes
63,6,13,177.32,177.32,115.18,7,3.15,10,3,31,No
64,5,15,178.41,178.41,88.07,7,2.66,13,3,34,No
65,7,14,164.29,164.29,120.92,9,2.32,15,3,30,Yes
66,6,6,194.87,194.87,10,9,4.6,7,3,34,No
67,9,13,132.1,132.1,77.71,7,2.1,8,3,28,No
68,4,17,187.23,187.23,122.75,10,2.59,13,3,45,Yes
69,5,15,189.7,189.7,100.85,10,3.29,8,3,48,Yes
70,9,10,182.76,182.76,120.18,7,3.27,12,3,34,No
71,9,10,211.53,211.53,141.58,12,3.91,13,5,33,Yes
72,8,15,161.54,161.54,115.23,9,2.22,14,3,33,No
73,11,13,138.61,138.61,120.39,9,2.31,11,3,29,No
74,13,11,185.28,185.28,161.77,9,2.98,18,3,36,No
75,6,12,181.88,181.88,72.6,10,3.2,8,3,44,Yes
76,10,13,179.9,179.9,130.07,10,3.08,16,3,34,No
77,5,17,168.99,168.99,143.56,7,2.92,8,3,29,No
78,6,17,181.55,181.55,153.36,7,2.62,11,3,39,No
79,5,15,178.98,178.98,131.36,7,2.52,13,3,44,Yes
80,7,10,183.6,183.6,103.66,8,3.06,13,3,37,Yes
81,5,16,198.63,198.63,134.79,11,3.28,0,3,43,Yes
82,6,15,198.79,198.79,131.29,10,3.39,9,4,42,Yes
83,9,15,178.64,178.64,146.26,8,2.84,11,4,37,No
84,6,13,192.73,192.73,107.7,10,3.4,,3,39,Yes
85,5,13,174.31,174.31,109.11,5,2.68,10,2,49,Yes
86,4,16,192.77,192.77,133.2,7,3.08,11,2,47,Yes
87,4,8,195.9,195.9,141.99,7,2.9,15,3,41,Yes
88,8,11,171.41,171.41,158.09,9,2.73,10,4,31,No
89,9,11,163.24,163.24,136.46,8,2.76,11,3,33,No
90,7,15,210.15,210.15,145.13,12,3.92,10,4,40,Yes
91,7,15,159.94,159.94,120.41,10,2.42,13,3,31,No
92,10,15,167.3,167.3,149.33,10,2.77,12,3,33,No
93,5,17,199.01,199.01,164.96,11,3.23,9,2,49,Yes
94,8,8,194.27,194.27,107.99,5,3.28,12,4,40,No
95,7,12,202.04,202.04,95.24,11,4,9,3,41,Yes
96,8,15,173.42,173.42,94.75,8,2.54,14,4,33,No
97,9,14,174.45,174.45,122.87,9,2.83,12,3,39,No
98,7,12,175.68,175.68,146.15,10,2.57,12,3,36,Yes
99,8,8,191.74,191.74,126.22,7,3.27,14,4,34,No
100,5,16,189.15,189.15,140.16,9,2.74,11,4,41,Yes
101,5,14,192.77,192.77,121.7,11,2.94,11,4,40,Yes
102,5,18,171.81,171.81,91.52,5,2.78,13,2,39,Yes
103,6,19,188.81,188.81,141.13,11,3.1,13,3,39,Yes
104,5,16,182.78,182.78,150,9,2.78,9,3,48,Yes
105,6,17,193.67,193.67,140.4,9,3.33,9,3,43,Yes
106,6,11,190.36,190.36,169.65,12,2.68,14,4,37,Yes
107,7,12,163.68,163.68,92.12,6,2.36,13,3,35,No
108,5,14,193.93,193.93,167.88,11,3.08,11,3,42,Yes
109,5,13,181.97,181.97,139.7,8,2.66,14,3,37,Yes
110,7,12,166.44,166.44,114.41,7,2.54,9,4,35,No
111,6,13,169.55,169.55,129.98,8,2.49,11,3,40,Yes
112,5,14,183.73,183.73,99.26,9,2.98,9,3,44,Yes
113,5,17,206.14,206.14,148.28,11,3.55,12,2,44,Yes
114,8,16,166.33,166.33,139.71,8,2.25,11,4,37,No
115,11,16,210.4,210.4,138.15,9,4.4,11,4,36,No
116,4,19,198.98,198.98,157.75,10,3.17,11,3,45,Yes
117,9,8,198.89,198.89,128.74,9,3.91,14,3,34,No
118,9,6,196.9,196.9,155,7,3.27,16,4,34,No
119,7,14,168.76,168.76,149.12,11,3.27,8,3,24,No
120,5,13,180.19,180.19,107.86,5,2.7,13,3,42,Yes
121,8,12,174.11,174.11,122.24,9,2.99,11,3,35,No
122,6,14,166.67,166.67,157.49,9,2.63,8,4,29,No
123,6,11,168.95,168.95,119.54,7,2.36,12,3,41,Yes
124,5,15,179,179,119.66,6,2.61,12,2,45,Yes
125,6,13,153.51,153.51,100.1,7,2.12,11,3,32,No
126,3,19,177.42,177.42,105.02,7,2.21,10,4,40,Yes
127,5,13,203.88,203.88,140.03,9,3.48,12,3,39,Yes
128,5,16,198.61,198.61,157.81,10,3.01,15,3,37,Yes
129,6,16,205.36,205.36,124.24,10,4.14,6,3,49,Yes
130,6,13,150.22,150.22,121.15,8,2.05,10,2,40,Yes
131,6,19,159.86,159.86,90.4,4,2.48,10,2,43,Yes
132,8,14,168.41,168.41,161.46,10,2.49,12,3,31,No
133,5,9,180.64,180.64,80.47,8,3.73,4,4,32,No
134,6,11,176.32,176.32,93.02,6,2.83,15,3,36,No
135,6,15,156.42,156.42,97.96,8,1.88,14,3,35,No
136,6,15,202.77,202.77,159.65,12,3.56,9,4,42,Yes
137,5,18,151.09,151.09,124.5,7,1.74,8,4,36,No
138,6,13,180.08,180.08,108.93,8,2.39,15,4,35,Yes
139,7,17,171.55,171.55,103.06,7,2.79,8,3,47,Yes
140,8,14,166.12,166.12,155.69,7,2.26,13,4,32,No
141,6,15,206.41,206.41,155,12,3.65,11,3,45,Yes
142,7,14,195.28,195.28,118.92,5,3.75,11,3,38,No
143,6,13,195.99,195.99,88.57,10,3.64,8,4,41,Yes
144,6,16,178.87,178.87,151.5,11,2.73,13,3,31,Yes
145,6,13,160.67,160.67,124.48,9,2.34,12,3,32,Yes
146,7,14,195.06,195.06,139.34,10,3.2,11,4,42,Yes
147,8,10,186.8,186.8,162.15,9,3.07,13,3,34,No
148,7,17,169.19,169.19,143.45,8,2.35,7,3,53,Yes
149,5,15,194.94,194.94,118.81,10,3.22,10,4,41,Yes
150,4,11,199.28,199.28,118.06,5,3.4,11,4,37,No
151,6,13,194.17,194.17,92.98,9,3.2,13,4,36,Yes
152,4,14,179.42,179.42,129.33,7,2.82,12,2,38,Yes
153,4,19,190.32,190.32,148.16,9,2.7,10,3,46,Yes
154,10,13,180.29,180.29,121.46,9,3.73,14,3,27,No
155,10,18,118.87,118.87,79.48,9,2.24,4,2,29,No
156,6,7,197.58,197.58,92.13,6,3.78,8,4,38,No
157,9,11,179.32,179.32,134.58,10,3.28,13,3,29,No
158,9,9,192.36,192.36,149.04,8,3.51,13,3,33,No
159,4,17,197.81,197.81,147.67,11,2.93,15,3,38,Yes
160,9,12,181.78,181.78,203.97,7,3.06,9,3,37,No
161,5,15,182.94,182.94,116.1,6,2.9,14,3,37,Yes
162,9,14,179.17,179.17,146.03,8,3.29,9,4,33,No
163,7,11,192.92,192.92,106.23,10,3.18,13,4,34,Yes
164,6,16,211.56,211.56,160.54,12,3.67,12,3,44,Yes
165,7,21,192.45,192.45,139.96,9,2.99,14,3,39,Yes
166,7,11,194.05,194.05,110.09,7,2.73,18,4,35,No
167,8,14,173.85,173.85,174.97,9,2.51,12,3,35,No
168,11,14,149.48,149.48,131.77,8,3.25,6,2,27,No
169,7,14,216.52,216.52,175.24,12,3.62,16,4,32,Yes
170,7,11,181.83,181.83,96.57,8,3.12,11,3,40,Yes
171,5,12,171.01,171.01,142.84,9,2.93,6,4,29,No
172,8,8,192.3,192.3,90.47,7,3.47,11,4,40,No
173,5,15,184.08,184.08,119.23,7,3.11,10,2,45,Yes
174,6,15,194.12,194.12,123.5,10,3.37,8,3,43,Yes
175,6,14,182.18,182.18,99.17,7,2.84,13,4,34,Yes
176,5,17,185.97,185.97,125.04,7,3.07,10,2,46,Yes
177,6,13,200.31,200.31,113.79,10,3.49,11,4,35,Yes
178,5,16,171.62,171.62,115.49,7,2.28,9,3,44,Yes
179,5,17,195.96,195.96,143.4,9,3.11,10,4,41,Yes
180,7,12,201.04,201.04,106.29,11,3.87,9,4,40,Yes
181,7,14,173.02,173.02,151.12,11,2.6,12,3,33,Yes
182,9,18,145.76,145.76,85.34,9,2.58,9,3,29,No
183,7,13,164.41,164.41,125.48,8,2.5,8,3,43,No
184,6,17,181.22,181.22,112.31,5,2.92,9,3,47,Yes
185,3,19,178.75,178.75,138.37,8,2.28,11,3,45,Yes
186,6,15,208.57,208.57,158.47,11,3.56,13,3,39,Yes
187,5,15,167.27,167.27,122.58,6,2.41,11,3,41,Yes
188,8,12,194.51,194.51,123.64,9,3.42,17,2,38,No
189,7,14,189.33,189.33,101.7,7,3.19,15,3,35,No
190,6,13,202.32,202.32,121.86,12,3.53,13,3,39,Yes
191,4,18,195.73,195.73,168.43,10,2.83,13,3,43,Yes
192,6,12,173.43,173.43,129.19,7,2.39,11,3,44,Yes
193,9,13,183.09,183.09,175.01,8,3.03,11,3,35,No
194,8,11,167.2,167.2,138.95,8,2.2,15,3,34,No
195,6,11,174.53,174.53,86.07,8,2.78,10,4,37,Yes
196,7,13,204.22,204.22,155.05,12,3.69,11,3,44,Yes
197,4,13,173.72,173.72,100.21,4,2.74,10,2,49,Yes
198,10,13,192.18,192.18,161.5,8,2.92,18,3,41,No
199,8,13,210.89,210.89,127.8,11,4.3,6,4,43,Yes
200,7,15,228.04,228.04,227.1,8,3.35,14,4,47,No
201,7,11,208.94,208.94,130.45,12,3.89,13,3,38,Yes
202,6,14,199.22,199.22,158.09,10,3.43,12,3,40,Yes
203,6,17,140.8,140.8,121.96,7,1.72,12,2,34,Yes
204,8,14,192.69,192.69,126.49,10,3.01,16,4,35,No
205,8,16,189.72,189.72,148.58,9,2.98,13,4,35,No
206,7,7,194.8,194.8,117.58,7,3.52,11,4,36,No
207,4,11,171.47,171.47,100.79,3,2.47,12,2,45,Yes
208,5,19,207.77,207.77,183.73,11,3.02,16,3,38,Yes
209,7,11,192.47,192.47,120.71,9,3.4,9,4,38,Yes
210,6,14,175.55,175.55,126.45,8,2.7,11,3,40,Yes
211,8,6,185.62,185.62,103.47,9,3.73,9,4,29,No
212,10,6,190.45,190.45,29.39,8,3.97,10,4,41,No
213,3,21,205.64,205.64,167.97,11,3.04,14,3,42,Yes
214,8,8,210.83,210.83,111.62,5,3.63,15,4,46,No
215,5,17,209.25,209.25,0,7,3.51,12,4,39,No
216,5,16,188.19,188.19,0,9,3.15,8,3,43,Yes
217,6,14,178.13,178.13,0,7,2.55,13,3,45,Yes
218,4,9,185.52,185.52,0,9,2.55,17,3,33,Yes
219,5,17,151.43,151.43,0,7,2.12,11,3,34,No
220,7,16,172.83,172.83,0,10,2.63,9,3,41,Yes
221,10,17,197.85,197.85,143.09,9,4.08,8,4,35,No
222,6,16,212.96,212.96,176.99,12,3.6,15,3,38,Yes
223,6,14,205.58,205.58,151.08,12,3.44,14,3,38,Yes
224,8,13,159.53,159.53,118,7,2.42,10,4,32,No
225,7,13,197.3,197.3,132.76,11,3.22,12,4,36,Yes
226,4,8,182.1,182.1,137.84,7,2.54,14,3,41,Yes
227,4,19,200.23,200.23,167.09,10,3.1,11,3,45,Yes
228,7,13,174.63,174.63,130.94,9,2.75,12,4,31,Yes
229,6,13,180.03,180.03,153.9,10,2.36,16,3,36,Yes
230,6,9,189.76,189.76,86.09,6,3.61,8,4,38,No
231,7,12,207.9,207.9,124,12,4.15,0,3,43,Yes
232,9,15,182.3,182.3,131.11,9,3.47,12,3,32,No
233,5,14,166.82,166.82,72.76,4,2.76,11,2,44,Yes
234,7,10,196.96,196.96,132.13,7,3.49,13,3,35,No
235,7,12,160.1,160.1,142.62,9,2.07,13,3,34,Yes
236,5,14,180.14,180.14,84.77,8,2.83,10,3,42,Yes
237,7,11,177.64,177.64,141.61,11,2.78,11,4,33,Yes
238,9,16,163.11,163.11,116.28,10,2.77,11,3,31,No
239,5,16,202.1,202.1,96.92,9,3.09,18,4,34,No
240,6,15,163.48,163.48,55.92,7,2.61,12,3,31,No
241,7,9,192.52,192.52,126.96,6,3.14,12,4,39,No
242,8,14,149.68,149.68,89.72,8,2.6,10,3,31,No
243,11,10,194.37,194.37,129.88,8,3.5,17,3,37,No
244,6,10,189.31,189.31,93.14,7,3.85,10,3,30,No
245,11,8,204.93,204.93,155.08,8,3.37,19,3,41,No
246,6,15,220.88,220.88,154.88,13,4.21,11,3,43,Yes
247,8,16,178.56,178.56,141.41,7,2.94,9,4,37,No
248,4,13,177.29,177.29,114.39,6,2.81,12,2,42,Yes
249,9,12,168.87,168.87,152.64,10,2.74,11,3,31,No
250,10,13,159.24,159.24,112.76,8,3.01,9,3,30,No
251,6,13,176.06,176.06,127.63,8,2.62,12,3,40,Yes
252,7,13,197.43,197.43,134.48,7,3.5,14,3,33,No
253,7,12,161.98,161.98,130.46,9,2.01,14,4,34,No
254,8,10,161.35,161.35,91.01,10,2.76,7,4,33,No
255,5,11,181.57,181.57,135.06,6,2.74,9,3,50,Yes
256,9,12,177.13,177.13,99.39,9,3.08,14,3,33,No
257,5,17,200.43,200.43,179.81,10,2.9,14,3,41,Yes
258,5,19,215,215,213.54,12,3.38,13,3,42,Yes
259,5,14,166.8,166.8,128.46,8,2.66,8,2,43,Yes
260,5,9,189.51,189.51,94.34,6,3.59,4,4,40,No
261,5,14,187.83,187.83,133.02,10,3.04,15,3,31,Yes
262,5,10,189.33,189.33,122.12,8,2.99,15,3,36,Yes
263,6,14,191.8,191.8,176.7,12,2.71,17,4,30,Yes
264,5,15,192.71,192.71,126.32,10,2.99,13,3,39,Yes
265,6,13,201.97,201.97,120.26,7,2.98,17,4,35,No
266,4,13,212.58,212.58,115.22,6,3.28,19,4,37,No
267,8,6,181.25,181.25,164.41,11,3.3,12,4,21,No
268,8,18,166.4,166.4,146.3,12,2.06,12,4,35,No
269,7,14,162.18,162.18,164.17,7,2.85,6,3,29,No
270,5,11,175.82,175.82,107.63,6,2.66,14,2,39,Yes
271,5,16,164.97,164.97,104.4,5,2.44,10,2,46,Yes
272,6,15,198.1,198.1,121.14,11,3.3,10,4,42,Yes
273,6,11,179.13,179.13,139.59,11,2.74,15,3,31,Yes
274,6,16,184.18,184.18,150.68,9,2.64,12,3,43,Yes
275,5,15,193.15,193.15,120.14,9,3.02,12,4,36,Yes
276,5,17,204.39,204.39,159.42,11,3.33,11,3,41,Yes
277,7,12,173.94,173.94,105.9,9,3.25,8,3,33,No
278,6,16,159.19,159.19,104.44,7,2.38,12,2,36,Yes
279,5,10,177.32,177.32,150.81,8,2.48,11,3,41,Yes
280,7,14,183.37,183.37,119.23,7,2.86,12,4,37,No
281,9,11,190.46,190.46,158.64,10,3.2,17,3,33,No
282,7,16,173.34,173.34,106.57,9,2.98,11,3,34,Yes
283,7,9,188.09,188.09,150.28,9,3.48,12,3,28,No
284,6,16,194.46,194.46,142.74,8,2.92,11,3,46,Yes
285,8,9,192.17,192.17,98.14,7,3.43,13,4,37,No
286,10,14,159.91,159.91,133.48,12,2.25,15,3,31,No
287,5,15,183.07,183.07,98.89,6,3.08,12,2,42,Yes
288,6,16,178.85,178.85,109.41,6,2.74,12,2,45,Yes
289,6,15,165.65,165.65,127.06,7,2.13,14,3,36,Yes
290,6,12,172.23,172.23,61.64,7,2.7,9,4,37,Yes
291,9,17,199.34,199.34,151.76,11,3.01,15,4,39,No
292,6,13,194.58,194.58,116.06,10,3.23,12,4,37,Yes
293,6,17,163.85,163.85,100.43,6,2.44,12,2,42,Yes
294,9,11,176.23,176.23,122.19,8,2.96,13,4,31,No
295,4,13,192.38,192.38,167.2,7,2.33,15,4,40,No
296,6,18,162.91,162.91,86.65,7,2.69,8,3,35,No
297,6,13,188.67,188.67,146.25,8,2.68,15,4,37,No
298,6,13,165.78,165.78,135.14,9,2.4,11,3,39,Yes
299,6,12,148.11,148.11,101.79,6,1.87,12,3,30,No
300,9,12,174.19,174.19,123.92,6,2.44,13,4,39,No
301,10,12,186.08,186.08,107.55,8,3.71,14,3,32,No
302,6,12,192.71,192.71,191.61,8,3.21,10,3,34,No
303,6,13,189.96,189.96,122.03,10,3.08,13,3,38,Yes
304,4,12,188.32,188.32,124.38,8,2.99,14,3,39,Yes
305,9,11,190.08,190.08,171.6,9,2.88,14,4,39,No
306,7,13,160.25,160.25,149.4,10,2.07,12,3,34,Yes
307,6,15,170.08,170.08,118.57,8,2.83,8,3,42,Yes
308,7,14,163.66,163.66,130.89,10,2.44,11,3,36,Yes
309,5,16,203.17,203.17,146.77,10,3.33,15,3,40,Yes
310,7,12,160.23,160.23,158.28,10,1.84,12,4,36,Yes
311,7,15,180.17,180.17,163.66,11,2.56,12,3,39,Yes
312,6,9,184.72,184.72,75.34,8,3.58,6,4,39,No
313,6,14,206.4,206.4,144.16,13,3.4,13,3,41,Yes
314,7,14,176.11,176.11,180.22,9,3.18,12,3,24,No
315,4,18,181.52,181.52,119.48,6,2.7,13,2,43,Yes
316,6,15,210.83,210.83,141.63,8,3.4,15,4,34,No
317,5,10,194.32,194.32,132.88,9,3.15,14,3,37,Yes
318,5,15,200.55,200.55,133.69,8,3.4,11,3,45,Yes
319,4,14,180.59,180.59,116.71,5,2.71,13,2,43,Yes
320,5,16,176.63,176.63,131.35,6,2.53,11,2,46,Yes
321,5,14,198.92,198.92,155.46,10,3.17,12,3,40,Yes
322,6,10,173.16,173.16,45.8,7,3.1,7,4,38,Yes
323,4,11,195.02,195.02,145.77,8,2.92,16,3,38,Yes
324,9,13,142.56,142.56,152.04,9,1.96,10,3,32,No
325,6,13,174.27,174.27,120.85,8,2.81,11,3,38,Yes
326,8,12,166.68,166.68,128.86,9,2.43,11,4,33,No
327,8,12,156.25,156.25,104.29,8,2.39,12,3,31,No
328,8,9,205.8,205.8,126,11,3.77,14,4,33,Yes
329,6,13,173.73,173.73,125.7,7,2.63,9,3,45,Yes
330,6,16,178.01,178.01,117.88,8,2.84,11,3,41,Yes
331,9,11,178.87,178.87,133.94,8,2.77,12,4,38,No
332,4,20,217.65,217.65,184.21,12,3.44,14,3,45,Yes
333,8,11,191.02,191.02,141.9,8,3.11,14,3,39,No
334,8,14,164.26,164.26,122.88,9,2.27,13,3,35,No
335,8,9,190.57,190.57,111.48,9,3.78,12,3,31,No
336,5,6,182.44,182.44,135.51,10,3.84,4,4,24,No
337,8,8,195.92,195.92,154.7,8,3.4,14,3,35,No
338,4,23,220.78,220.78,249.21,12,2.75,18,3,41,Yes
339,5,16,173.1,173.1,107.57,6,2.49,13,2,44,Yes
340,11,10,194.19,194.19,112.69,9,3.62,16,3,38,No
341,10,14,172.51,172.51,185.79,9,2.55,0,3,37,No
342,6,15,198.43,198.43,161.43,10,3.09,13,3,42,Yes
343,7,14,177.51,177.51,130.59,8,3.14,11,3,33,No
344,9,13,146.03,146.03,109.26,8,2.69,7,3,30,No
345,5,20,230.32,230.32,210.49,14,4.03,11,3,45,Yes
346,6,11,190.05,190.05,75.54,8,3.43,12,4,32,Yes
347,6,17,216.7,216.7,169.66,12,3.87,11,3,43,Yes
348,6,14,196.13,196.13,132.69,10,3.67,8,3,44,Yes
349,8,12,154.06,154.06,108.44,7,1.97,13,3,35,No
350,10,12,181.19,181.19,98.81,11,3.26,15,3,37,No
351,8,15,158.96,158.96,55.87,7,2.64,13,3,31,No
352,8,13,152.15,152.15,81.36,9,2.31,14,3,31,No
353,9,13,193.07,193.07,195.51,9,2.99,18,3,35,No
354,5,13,173.08,173.08,106.92,8,2.23,14,4,37,Yes
355,5,13,170.04,170.04,136.08,8,2.37,14,3,35,Yes
356,6,12,168.76,168.76,156.68,10,2.23,12,3,39,Yes
357,6,15,179.43,179.43,118.41,8,2.74,12,3,42,Yes
358,7,11,190.75,190.75,106.74,9,3.15,14,4,36,Yes
359,4,14,195.33,195.33,104.72,4,2.77,14,4,39,No
360,6,16,204.61,204.61,156.15,11,3.31,14,3,40,Yes
361,7,13,218.67,218.67,150.72,13,4.52,10,2,44,Yes
362,11,14,118.56,118.56,142.17,11,1.73,7,3,30,No
363,5,11,167.11,167.11,132.26,9,3.08,4,4,26,No
364,5,14,189.21,189.21,97.86,9,2.95,12,4,38,Yes
365,12,15,173.85,173.85,186.65,11,3.28,9,3,33,No
366,6,13,170.64,170.64,118.21,7,1.83,16,4,39,No
367,6,14,199.45,199.45,123.48,11,3.59,9,4,40,Yes
368,7,13,169.85,169.85,147.6,10,2.46,10,4,37,Yes
369,6,15,178.35,178.35,124.3,10,2.91,13,3,35,Yes
370,12,15,139.48,139.48,144.55,10,2.66,7,3,30,No
371,6,14,202.79,202.79,141.19,10,3.18,15,4,35,Yes
372,5,11,182.62,182.62,139.51,8,2.8,10,3,46,Yes
373,7,16,185.84,185.84,127.98,9,3.08,9,3,43,Yes
374,5,14,196.82,196.82,123.11,8,3.31,12,3,44,Yes
375,5,15,206.55,206.55,153.91,11,3.5,13,3,38,Yes
376,5,17,171.14,171.14,96.53,6,2.69,14,2,37,Yes
377,6,15,151.78,151.78,114.75,6,1.96,11,2,40,Yes
378,6,12,177.51,177.51,136.32,9,2.81,10,3,42,Yes
379,7,12,193.35,193.35,131.27,10,2.92,16,4,36,Yes
380,9,16,161.62,161.62,146.04,9,2.61,8,3,35,No
381,6,12,176.35,176.35,78.93,8,2.85,12,3,38,Yes
382,7,13,197.31,197.31,132.61,10,3.39,13,3,38,Yes
383,4,15,182.16,182.16,107.12,8,2.31,15,4,35,No
384,8,10,199.7,199.7,120.44,11,3.83,10,3,38,Yes
385,7,12,194.88,194.88,125.51,10,3.31,11,4,38,Yes
386,2,12,177.17,177.17,171.81,5,2.79,3,4,31,No
387,9,13,176.9,176.9,156.14,10,3.16,14,3,28,No
388,6,16,170.74,170.74,120.17,8,2.78,10,3,39,Yes
389,11,16,166.02,166.02,170.96,11,2.9,10,3,32,No
390,9,8,200.25,200.25,137.01,8,3.67,16,3,36,No
391,6,15,168.61,168.61,187.94,8,2.6,9,3,28,No
392,5,18,200.75,200.75,139.28,10,3.32,9,3,46,Yes
393,8,15,156.75,156.75,96.73,6,2.91,8,3,30,No
394,4,12,169.22,169.22,113.73,5,2.11,12,4,36,No
395,10,8,194.76,194.76,153.01,7,3.08,19,4,34,No
396,7,12,159.88,159.88,56.84,5,2.9,12,3,32,No
397,11,13,165.08,165.08,136.93,9,2.86,11,3,35,No
398,11,9,173.87,173.87,0,10,2.98,14,4,29,No
399,3,18,176.43,176.43,0,8,2.36,11,3,46,Yes
400,4,13,165.6,165.6,119.95,5,2.1,16,2,38,Yes
401,8,15,177.65,177.65,0,9,3.2,9,3,34,No
402,9,5,193.38,193.38,0,7,3.54,11,4,38,No
403,7,10,193.15,193.15,0,6,3.57,11,3,32,No
404,6,14,179.31,179.31,0,9,2.74,9,3,43,Yes
405,6,16,161.59,161.59,0,6,2.52,7,2,48,Yes
406,12,6,190.88,190.88,135.56,7,2.88,16,4,43,No
407,5,17,182.6,182.6,130.41,8,2.2,13,4,41,No
408,8,11,201.7,201.7,117.69,7,3.63,14,3,40,No
409,7,12,169.69,169.69,119.95,10,2.93,9,3,33,No
410,6,13,193.14,193.14,126.58,10,3.38,9,3,41,Yes
411,6,10,173.71,173.71,138.52,10,2.63,12,3,33,Yes
412,12,16,147.44,147.44,169.58,11,2.69,8,3,30,No
413,7,16,148.3,148.3,122.78,9,1.88,13,3,31,Yes
414,7,8,187.51,187.51,101.75,7,3.72,10,4,32,No
415,6,12,190.53,190.53,119.77,10,3.35,10,3,42,Yes
416,5,12,205.66,205.66,112.76,3,3.82,10,3,41,No
417,6,11,163.81,163.81,89.73,6,2.18,15,3,35,No
418,6,12,177.21,177.21,140.74,9,2.47,15,3,35,Yes
419,6,9,166.48,166.48,137.26,8,2.28,12,3,36,Yes
